pair,label,class,mean_case_dsc,mean_case_nsd,mean_case_binary_kappa,micro_dsc,micro_binary_kappa,tp,tn,fp,fn,cases_with_dsc,cases_with_nsd,cases_with_binary_kappa
annotation_1_vs_annotation_2,0,background,0.9996260983717615,nan,0.9635841723419615,0.9996260983717615,0.9635841723419615,254427662,2545269,124009,66324,1,0,1
annotation_1_vs_annotation_2,1,pancreas,0.8831103230185582,0.7726495348356344,0.8830671230951821,0.8831103230185582,0.8830671230951821,83918,257057131,9779,12436,1,1,1
annotation_1_vs_annotation_2,2,kidney,0.9618654123230782,0.9126495979250643,0.9617953365972721,0.9618654123230782,0.9617953365972721,453962,256673306,6789,29207,1,1,1
annotation_1_vs_annotation_2,3,liver,0.9681395741397189,0.6674336057241175,0.9678806187518504,0.9681395741397189,0.9678806187518504,2007389,255023753,49756,82366,1,1,1
annotation_1_vs_annotation_3,0,background,0.999581877746187,nan,0.9602027051477974,0.999581877746187,0.9602027051477974,254355066,2595406,196605,16187,1,0,1
annotation_1_vs_annotation_3,1,pancreas,0.8952279689121795,0.8040613889966267,0.8951878257840666,0.8952279689121795,0.8951878257840666,88406,257054165,5291,15402,1,1,1
annotation_1_vs_annotation_3,2,kidney,0.938478428737923,0.8231160095855907,0.9383617802938615,0.938478428737923,0.9383617802938615,458183,256645009,2568,57504,1,1,1
annotation_1_vs_annotation_3,3,liver,0.968785441670148,0.7520734986799572,0.9685268085272055,0.968785441670148,0.9685268085272055,2048817,254982420,8328,123699,1,1,1
annotation_2_vs_annotation_3,0,background,0.9996640741263131,nan,0.9683637595839993,0.9996640741263131,0.9683637595839993,254347149,2645174,146837,24104,1,0,1
annotation_2_vs_annotation_3,1,pancreas,0.9005305702381071,0.8782849628614989,0.9004918980764066,0.9005305702381071,0.9004918980764066,90126,257053228,6228,13682,1,1,1
annotation_2_vs_annotation_3,2,kidney,0.960693032829557,0.945487813070074,0.9606166287904487,0.960693032829557,0.9606166287904487,479797,256644205,3372,35890,1,1,1
annotation_2_vs_annotation_3,3,liver,0.9737771249176789,0.7363186670547254,0.9735580809308929,0.9737771249176789,0.9735580809308929,2075251,254976244,14504,97265,1,1,1
